 B.7 Proporção da população de 10 a 15 anos ocupada (Taxa de trabalho infantil)
Prop.pop 10-15 anos ocupada(%) por Unidade da Federação
Período:2013
"Unidade da Federação";"Prop.pop_10-15_anos_ocupada(%)";"Informações Estatísticas"
"Rondônia";9,4;IC=(7,2-11,6)
"Acre";6,1;IC=(2,8-9,4)
"Amazonas";6,7;IC=(4,5-8,9)
"Roraima";*;*
"Pará";11,0;IC=(9,0-13,1)
"Amapá";*;*
"Tocantins";7,2;IC=(5,8-8,7)
"Maranhão";12,6;IC=(10,8-14,4)
"Piauí";12,1;IC=(8,4-15,9)
"Ceará";6,4;IC=(5,3-7,4)
"Rio Grande do Norte";*;*
"Paraíba";5,0;IC=(2,6-7,4)
"Pernambuco";7,2;IC=(5,0-9,4)
"Alagoas";5,5;IC=(2,7-8,3)
"Sergipe";7,5;IC=(6,0-9,0)
"Bahia";8,5;IC=(6,7-10,2)
"Minas Gerais";7,6;IC=(6,4-8,8)
"Espírito Santo";5,4;IC=(3,9-6,9)
"Rio de Janeiro";2,2;IC=(1,5-2,8)
"São Paulo";2,8;IC=(2,2-3,4)
"Paraná";6,4;IC=(4,9-7,9)
"Santa Catarina";5,9;IC=(3,8-8,0)
"Rio Grande do Sul";7,8;IC=(5,9-9,8)
"Mato Grosso do Sul";7,7;IC=(5,2-10,1)
"Mato Grosso";4,7;IC=(3,4-6,0)
"Goiás";6,3;IC=(5,2-7,5)
"Distrito Federal";*;*
"Total";6,2;IC=(5,9-6,6)
 Fonte: Pesquisa Nacional por Amostra de Domicílios - PNAD 2004-2009, 2011-2013
 Notas:
 
 Proporção da população de 10 a 15 anos ocupada: Percentual da população de 10 a 15 anos ocupada.
 Por se tratar de uma pesquisa amostral, o valor do indicador pode não ter significância estatística quando desagregado para segmentos
 populacionais específicos, tais como indígenas, amarelos e pretos, pois estes grupos são muito pequenos em alguns estados e regiões.
 Os valores das PNAD 2001 a 2013 estão ponderados considerando os pesos amostrais disponibilizados após a publicação do Censo 2010.
 
