 B.7 Proporção da população de 10 a 15 anos ocupada (Taxa de trabalho infantil)
Prop.pop 10-15 anos ocupada(%) por Unidade da Federação
Período:2011
"Unidade da Federação";"Prop.pop_10-15_anos_ocupada(%)";"Informações Estatísticas"
"Rondônia";11,2;IC=(8,2-14,1)
"Acre";13,8;IC=(7,9-19,7)
"Amazonas";13,0;IC=(9,8-16,2)
"Roraima";14,2;IC=(10,8-17,6)
"Pará";11,4;IC=(9,8-12,9)
"Amapá";*;*
"Tocantins";14,7;IC=(11,7-17,8)
"Maranhão";14,4;IC=(11,9-16,9)
"Piauí";16,5;IC=(12,7-20,4)
"Ceará";10,1;IC=(7,6-12,6)
"Rio Grande do Norte";6,7;IC=(4,8-8,6)
"Paraíba";9,0;IC=(6,6-11,5)
"Pernambuco";5,8;IC=(4,3-7,3)
"Alagoas";9,2;IC=(7,5-10,9)
"Sergipe";8,0;IC=(5,2-10,9)
"Bahia";11,3;IC=(9,0-13,6)
"Minas Gerais";7,9;IC=(6,6-9,1)
"Espírito Santo";8,3;IC=(5,9-10,7)
"Rio de Janeiro";1,9;IC=(1,3-2,5)
"São Paulo";3,7;IC=(3,1-4,2)
"Paraná";8,5;IC=(6,8-10,2)
"Santa Catarina";5,6;IC=(4,3-6,9)
"Rio Grande do Sul";8,4;IC=(6,4-10,5)
"Mato Grosso do Sul";4,7;IC=(3,0-6,4)
"Mato Grosso";7,7;IC=(5,5-9,9)
"Goiás";6,9;IC=(5,6-8,1)
"Distrito Federal";*;*
"Total";7,6;IC=(7,2-8,0)
 Fonte: Pesquisa Nacional por Amostra de Domicílios - PNAD 2004-2009, 2011-2013
 Notas:
 
 Proporção da população de 10 a 15 anos ocupada: Percentual da população de 10 a 15 anos ocupada.
 Por se tratar de uma pesquisa amostral, o valor do indicador pode não ter significância estatística quando desagregado para segmentos
 populacionais específicos, tais como indígenas, amarelos e pretos, pois estes grupos são muito pequenos em alguns estados e regiões.
 Os valores das PNAD 2001 a 2013 estão ponderados considerando os pesos amostrais disponibilizados após a publicação do Censo 2010.
 
