 B.7 Proporção da população de 10 a 15 anos ocupada (Taxa de trabalho infantil)
Prop.pop 10-15 anos ocupada(%) por Unidade da Federação
Período:2007
"Unidade da Federação";"Prop.pop_10-15_anos_ocupada(%)";"Informações Estatísticas"
"Rondônia";15,8;IC=(11,5-20,0)
"Acre";19,9;IC=(12,6-27,2)
"Amazonas";10,1;IC=(7,6-12,6)
"Roraima";*;*
"Pará";14,9;IC=(10,6-19,1)
"Amapá";7,6;IC=(3,8-11,4)
"Tocantins";17,9;IC=(12,5-23,2)
"Maranhão";21,6;IC=(15,6-27,7)
"Piauí";17,7;IC=(12,1-23,3)
"Ceará";15,4;IC=(11,9-18,9)
"Rio Grande do Norte";15,0;IC=(12,6-17,4)
"Paraíba";13,9;IC=(9,8-18,1)
"Pernambuco";14,3;IC=(11,3-17,2)
"Alagoas";12,9;IC=(9,0-16,7)
"Sergipe";10,3;IC=(7,5-13,1)
"Bahia";15,1;IC=(12,9-17,3)
"Minas Gerais";10,8;IC=(9,3-12,2)
"Espírito Santo";9,6;IC=(6,8-12,5)
"Rio de Janeiro";3,2;IC=(2,4-4,0)
"São Paulo";4,8;IC=(4,1-5,4)
"Paraná";13,1;IC=(11,4-14,8)
"Santa Catarina";13,9;IC=(9,4-18,4)
"Rio Grande do Sul";13,2;IC=(10,7-15,6)
"Mato Grosso do Sul";12,0;IC=(9,4-14,6)
"Mato Grosso";12,5;IC=(10,1-14,8)
"Goiás";8,9;IC=(7,5-10,4)
"Distrito Federal";2,8;IC=(1,8-3,9)
"Total";11,1;IC=(10,5-11,7)
 Fonte: Pesquisa Nacional por Amostra de Domicílios - PNAD 2004-2009, 2011-2013
 Notas:
 
 Proporção da população de 10 a 15 anos ocupada: Percentual da população de 10 a 15 anos ocupada.
 Por se tratar de uma pesquisa amostral, o valor do indicador pode não ter significância estatística quando desagregado para segmentos
 populacionais específicos, tais como indígenas, amarelos e pretos, pois estes grupos são muito pequenos em alguns estados e regiões.
 Os valores das PNAD 2001 a 2013 estão ponderados considerando os pesos amostrais disponibilizados após a publicação do Censo 2010.
 
