 B.7 Proporção da população de 10 a 15 anos ocupada (Taxa de trabalho infantil)
Prop.pop 10-15 anos ocupada(%) por Unidade da Federação
Período:2008
"Unidade da Federação";"Prop.pop_10-15_anos_ocupada(%)";"Informações Estatísticas"
"Rondônia";14,0;IC=(8,7-19,4)
"Acre";15,2;IC=(10,9-19,5)
"Amazonas";7,9;IC=(5,8-10,1)
"Roraima";*;*
"Pará";12,5;IC=(8,2-16,8)
"Amapá";*;*
"Tocantins";17,3;IC=(14,5-20,1)
"Maranhão";12,7;IC=(7,4-18,0)
"Piauí";17,4;IC=(11,6-23,1)
"Ceará";14,8;IC=(10,8-18,9)
"Rio Grande do Norte";12,6;IC=(10,3-14,8)
"Paraíba";12,1;IC=(9,2-15,0)
"Pernambuco";12,0;IC=(9,4-14,6)
"Alagoas";13,3;IC=(8,6-18,0)
"Sergipe";11,1;IC=(7,1-15,1)
"Bahia";14,3;IC=(11,4-17,3)
"Minas Gerais";10,0;IC=(8,7-11,3)
"Espírito Santo";9,6;IC=(7,6-11,5)
"Rio de Janeiro";2,6;IC=(2,0-3,2)
"São Paulo";4,3;IC=(3,7-5,0)
"Paraná";9,5;IC=(7,8-11,3)
"Santa Catarina";9,9;IC=(7,0-12,8)
"Rio Grande do Sul";11,0;IC=(8,9-13,0)
"Mato Grosso do Sul";9,2;IC=(7,0-11,5)
"Mato Grosso";11,9;IC=(10,3-13,5)
"Goiás";10,0;IC=(8,0-12,0)
"Distrito Federal";*;*
"Total";9,6;IC=(9,1-10,2)
 Fonte: Pesquisa Nacional por Amostra de Domicílios - PNAD 2004-2009, 2011-2013
 Notas:
 
 Proporção da população de 10 a 15 anos ocupada: Percentual da população de 10 a 15 anos ocupada.
 Por se tratar de uma pesquisa amostral, o valor do indicador pode não ter significância estatística quando desagregado para segmentos
 populacionais específicos, tais como indígenas, amarelos e pretos, pois estes grupos são muito pequenos em alguns estados e regiões.
 Os valores das PNAD 2001 a 2013 estão ponderados considerando os pesos amostrais disponibilizados após a publicação do Censo 2010.
 
